Date,SPY,SPY_Volume,VOO,VOO_Volume,IVV,IVV_Volume,QQQ,QQQ_Volume,DIA,DIA_Volume
2021-04-07 19:06,406.1600036621094,20640420.0,373.3500061035156,1222189.0,407.6700134277344,1026444.0,331.4418029785156,14175793.0,334.0140075683594,1361178.0
2021-04-07 19:07,406.2013854980469,20697990.0,373.3699951171875,1224110.0,407.7200012207031,1027424.0,331.55999755859375,14196984.0,334.04998779296875,1365054.0
2021-04-07 19:08,406.25,20769656.0,373.43011474609375,1227754.0,407.7900085449219,1034487.0,331.6050109863281,14242619.0,334.05999755859375,1370486.0
2021-04-07 19:09,406.25,20835179.0,373.4399108886719,1231642.0,407.7900085449219,1039110.0,331.6282043457031,14268459.0,334.04998779296875,1382922.0
2021-04-07 19:10,406.260009765625,20876768.0,373.4400024414063,1234549.0,407.80938720703125,1055090.0,331.57000732421875,14328913.0,334.0950012207031,1387771.0
2021-04-07 19:11,406.1400146484375,20933517.0,373.3299865722656,1238294.0,407.6600036621094,1059072.0,331.44000244140625,14384766.0,333.9599914550781,1408358.0
2021-04-07 19:12,406.0700073242188,21093173.0,373.239990234375,1242362.0,407.6000061035156,1060998.0,331.3800048828125,14426638.0,333.9200134277344,1413680.0
2021-04-07 19:13,406.1099853515625,21160616.0,373.30999755859375,1245126.0,407.6400146484375,1063438.0,331.45001220703125,14658987.0,333.9599914550781,1418449.0
2021-04-07 19:14,406.0799865722656,21225553.0,373.2850036621094,1250423.0,407.60980224609375,1070923.0,331.3999938964844,14685586.0,333.989990234375,1424578.0
2021-04-07 19:15,405.9750061035156,21321244.0,373.1998901367188,1255154.0,407.55999755859375,1073476.0,331.2099914550781,14740311.0,333.94000244140625,1426366.0
2021-04-07 19:16,405.75,21480423.0,372.98028564453125,1261047.0,407.2300109863281,1081674.0,330.8013916015625,14840320.0,333.7099914550781,1436149.0
2021-04-07 19:17,405.6199035644531,21655313.0,372.8599853515625,1281448.0,407.1400146484375,1091899.0,330.7699890136719,14897192.0,333.6000061035156,1454559.0
